STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,CLDD,HTDD,DT90,DX32,DT00,DT32,DP01,DP05,DP10,EMXP,MXSD,TPCP,TSNW,EMXT,EMNT,MMXT,MMNT,MNTM
GHCND:RQC00665020,JUANA DIAZ CAMP US,unknown,unknown,unknown,19500101,278,0,0,0,0,0,1,0,0,0.19,-9999,0.37,-9999,89.1,61.0,86.4,64.0,75.2
GHCND:RQC00665020,JUANA DIAZ CAMP US,unknown,unknown,unknown,19500201,289,0,0,0,0,0,7,2,0,0.70,-9999,2.62,-9999,88.0,59.0,86.5,64.0,75.2
GHCND:RQC00665020,JUANA DIAZ CAMP US,unknown,unknown,unknown,19500301,350,0,6,0,0,0,1,0,0,0.12,-9999,0.27,-9999,90.0,60.1,88.0,64.6,76.3
GHCND:RQC00665020,JUANA DIAZ CAMP US,unknown,unknown,unknown,19500401,259,0,1,0,0,0,9,3,1,1.10,-9999,3.93,-9999,90.0,62.1,87.3,65.1,76.3
GHCND:RQC00665020,JUANA DIAZ CAMP US,unknown,unknown,unknown,19500501,401,0,4,0,0,0,5,3,1,1.02,-9999,2.59,-9999,91.9,62.1,88.5,67.3,77.9
GHCND:RQC00665020,JUANA DIAZ CAMP US,unknown,unknown,unknown,19500601,371,0,17,0,0,0,3,1,1,3.66,-9999,4.19,-9999,93.9,66.9,90.9,71.2,81.1
GHCND:RQC00665020,JUANA DIAZ CAMP US,unknown,unknown,unknown,19500701,400,0,21,0,0,0,5,1,0,0.57,-9999,1.91,-9999,96.1,62.1,91.8,70.0,81.0
GHCND:RQC00665020,JUANA DIAZ CAMP US,unknown,unknown,unknown,19500801,405,0,20,0,0,0,6,0,0,0.36,-9999,1.62,-9999,97.0,66.9,92.3,71.4,81.9
GHCND:RQC00665020,JUANA DIAZ CAMP US,unknown,unknown,unknown,19500901,465,0,25,0,0,0,9,3,0,0.80,-9999,4.31,-9999,93.9,66.9,90.9,70.0,80.4
GHCND:RQC00665020,JUANA DIAZ CAMP US,unknown,unknown,unknown,19501001,406,0,17,0,0,0,14,4,4,3.21,-9999,11.45,-9999,95.0,66.9,89.8,69.1,79.5
GHCND:RQC00665020,JUANA DIAZ CAMP US,unknown,unknown,unknown,19501101,416,0,17,0,0,0,9,4,2,7.29,-9999,12.03,-9999,91.9,64.9,89.2,68.4,78.8
GHCND:RQC00665020,JUANA DIAZ CAMP US,unknown,unknown,unknown,19501201,353,0,1,0,0,0,8,2,1,1.10,-9999,3.74,-9999,90.0,60.1,87.4,65.1,76.3
GHCND:RQC00665020,JUANA DIAZ CAMP US,unknown,unknown,unknown,19510101,331,0,1,0,0,0,1,1,0,0.55,-9999,0.60,-9999,90.0,59.0,86.9,64.4,75.6
GHCND:RQC00665020,JUANA DIAZ CAMP US,unknown,unknown,unknown,19510201,265,0,0,0,0,0,3,0,0,0.48,-9999,0.91,-9999,89.1,55.9,86.4,62.4,74.5
GHCND:RQC00665020,JUANA DIAZ CAMP US,unknown,unknown,unknown,19510301,274,0,0,0,0,0,4,0,0,0.27,-9999,0.94,-9999,89.1,57.0,86.5,61.0,73.8
GHCND:RQC00665020,JUANA DIAZ CAMP US,unknown,unknown,unknown,19510401,382,0,16,0,0,0,4,1,0,0.73,-9999,1.46,-9999,91.9,61.0,89.4,66.0,77.7
GHCND:RQC00665020,JUANA DIAZ CAMP US,unknown,unknown,unknown,19510501,447,0,13,0,0,0,10,4,2,1.50,-9999,5.88,-9999,91.9,66.9,89.1,69.6,79.3
GHCND:RQC00665020,JUANA DIAZ CAMP US,unknown,unknown,unknown,19510601,465,0,18,0,0,0,7,1,0,0.65,-9999,2.35,-9999,93.9,66.0,90.3,70.7,80.4
GHCND:RQC00665020,JUANA DIAZ CAMP US,unknown,unknown,unknown,19510701,524,0,29,0,0,0,12,1,0,0.50,-9999,3.57,-9999,97.0,66.9,92.5,71.1,81.9
GHCND:RQC00665020,JUANA DIAZ CAMP US,unknown,unknown,unknown,19510801,510,0,31,0,0,0,11,4,1,1.73,-9999,4.99,-9999,95.0,69.1,91.9,70.9,81.3
GHCND:RQC00665020,JUANA DIAZ CAMP US,unknown,unknown,unknown,19510901,469,0,26,0,0,0,16,10,5,2.39,-9999,11.87,-9999,93.9,68.0,90.5,70.5,80.6
GHCND:RQC00665020,JUANA DIAZ CAMP US,unknown,unknown,unknown,19520101,333,0,3,0,0,0,3,2,0,0.68,-9999,1.56,-9999,90.0,61.0,87.4,66.2,76.8
GHCND:RQC00665020,JUANA DIAZ CAMP US,unknown,unknown,unknown,19520201,317,0,0,0,0,0,4,1,0,0.55,-9999,1.87,-9999,89.1,61.0,86.7,64.9,75.9
GHCND:RQC00665020,JUANA DIAZ CAMP US,unknown,unknown,unknown,19520301,389,0,14,0,0,0,0,0,0,0.09,-9999,0.31,-9999,91.0,62.1,88.7,66.2,77.5
GHCND:RQC00665020,JUANA DIAZ CAMP US,unknown,unknown,unknown,19520401,417,0,15,0,0,0,10,3,1,1.14,-9999,4.43,-9999,91.9,64.0,88.7,68.9,78.8
GHCND:RQC00665020,JUANA DIAZ CAMP US,unknown,unknown,unknown,19520501,473,0,17,0,0,0,9,3,2,1.32,-9999,4.11,-9999,91.9,66.9,89.6,70.9,80.2
GHCND:RQC00665020,JUANA DIAZ CAMP US,unknown,unknown,unknown,19520601,505,0,27,0,0,0,8,2,1,1.44,-9999,3.81,-9999,95.0,70.0,91.4,72.1,81.9
GHCND:RQC00665020,JUANA DIAZ CAMP US,unknown,unknown,unknown,19520701,495,0,23,0,0,0,9,5,3,1.80,-9999,6.70,-9999,95.0,69.1,90.9,72.1,81.5
GHCND:RQC00665020,JUANA DIAZ CAMP US,unknown,unknown,unknown,19520801,515,0,30,0,0,0,14,4,3,1.79,-9999,8.08,-9999,93.9,69.1,91.4,71.8,81.5
GHCND:RQC00665020,JUANA DIAZ CAMP US,unknown,unknown,unknown,19520901,473,0,23,0,0,0,16,8,3,8.55,-9999,16.31,-9999,93.0,66.9,90.1,71.2,80.8
GHCND:RQC00665020,JUANA DIAZ CAMP US,unknown,unknown,unknown,19521001,493,0,27,0,0,0,8,2,1,1.12,-9999,3.84,-9999,93.9,68.0,90.9,70.9,80.8
GHCND:RQC00665020,JUANA DIAZ CAMP US,unknown,unknown,unknown,19521101,420,0,17,0,0,0,4,2,0,0.70,-9999,2.01,-9999,91.9,63.0,89.8,68.2,79.0
GHCND:RQC00665020,JUANA DIAZ CAMP US,unknown,unknown,unknown,19521201,386,0,3,0,0,0,0,0,0,0.02,-9999,0.02,-9999,90.0,62.1,88.9,66.0,77.4
GHCND:RQC00665020,JUANA DIAZ CAMP US,unknown,unknown,unknown,19530101,391,0,9,0,0,0,3,0,0,0.27,-9999,0.80,-9999,90.0,61.0,88.5,66.7,77.5
GHCND:RQC00665020,JUANA DIAZ CAMP US,unknown,unknown,unknown,19530201,349,0,4,0,0,0,0,0,0,0.05,-9999,0.08,-9999,91.0,62.1,88.3,66.6,77.4
GHCND:RQC00665020,JUANA DIAZ CAMP US,unknown,unknown,unknown,19530301,410,0,19,0,0,0,1,0,0,0.10,-9999,0.12,-9999,91.9,61.0,89.8,66.6,78.1
GHCND:RQC00665020,JUANA DIAZ CAMP US,unknown,unknown,unknown,19530401,397,0,25,0,0,0,4,0,0,0.37,-9999,1.15,-9999,93.0,61.0,90.7,66.6,78.6
