eventID,year,locality,verbatimLocality,recordedBy,georeferenceSources,decimalLatitude,decimalLongitude,lat,long,uncertainty,n
"CAS,Bayamon,1879",1879,Bayamon,"Bayamon, Porto Rico","""""A. Stahl""""",Alexandria Digital Library Gazetteer,18.4006,-66.1561,NA,NA,NA,2
"CAS,W side of Bahia de la Ballena, 6 km (by air) SE Guanica,1989",1989,"W side of Bahia de la Ballena, 6 km (by air) SE Guanica","Puerto Rico: west side of Bahia de la Ballena, 6 km airline SE Guanica","""""A.M. Bauer and R. Thomas""""",Alexandria Digital Library Gazetteer,17.93527,-66.86825,17.93527,-66.86825,3000,6
"CAS,just offshore at La Parguera,1989",1989,just offshore at La Parguera,"Puerto Rico: Isla Magueyes, just offshore at La Parguera","""""A.M. Bauer and R. Thomas""""",Alexandria Digital Library Gazetteer,17.9708,-67.0444,17.9708,-67.0444,1000,1
"CAS,near Guanica,1994",1994,near Guanica,Puerto Rico: nr. Guanica,"""""A.M. Bauer""""",Alexandria Digital Library Gazetteer,17.9736,-66.9083,17.9736,-66.9083,1000,2
"CAS,Bahia de la Ballena,1994",1994,Bahia de la Ballena,Puerto Rico: Bahia de Ballena,"""""A.M. Bauer""""",Alexandria Digital Library Gazetteer,17.9533,-66.8589,17.9533,-66.8589,1000,2
"CAS,Santa Isabel,1994",1994,Santa Isabel,Puerto Rico: Santa Isabela,"""""A.M. Bauer""""",Alexandria Digital Library Gazetteer,17.9681,-66.4053,17.9681,-66.4053,1000,2
"CAS,W of Ponce, Holiday Inn,1994",1994,"W of Ponce, Holiday Inn","Puerto Rico: Holiday Inn, W. of Ponce","""""A.M. Bauer""""",Alexandria Digital Library Gazetteer,18.0131,-66.6267,18.0131,-66.6267,1000,1
"CAS,Luquillo Mts,1944",1944,Luquillo Mts,West Indies: Puerto Rico: Luquillo Mtns.,"""""C. Grant""""",Wayhoo.com,18.28134,-65.78294,18.28134,-65.78294,3500,8
"CAS,Caribbean National Forest, El Verde Field Station,1982",1982,"Caribbean National Forest, El Verde Field Station","Puerto Rico: Caribbean National Forest, El Verde Station.","""""E.S. Benes""""",Alexandria Digital Library Gazetteer,18.3408,-65.8261,18.321249,-65.8198151,500,6
"CAS,Caribbean National Forest, vic. El Verde Field Station,1982",1982,"Caribbean National Forest, vic. El Verde Field Station","Puerto Rico: Caribbean National Forest, vic. El Verde Station","""""E.S. Benes""""",Alexandria Digital Library Gazetteer,18.3408,-65.8261,18.321249,-65.8198151,500,4
"CAS,Caribbean National Forest, vic. El Verde Station,1982",1982,"Caribbean National Forest, vic. El Verde Station","Puerto Rico: Caribbean National Forest, vic. El Verde Station","""""E.S. Benes""""",Alexandria Digital Library Gazetteer,18.3408,-65.8261,18.321249,-65.8198151,500,3
"CAS,San Juan, Fort San Geronimo,1950",1950,"San Juan, Fort San Geronimo","Fort San Geronimo San Juan, Porto Rico","""""G.S. Myers""""",Alexandria Digital Library Gazetteer,18.4653,-66.0856,18.4653,-66.0856,500,6
"CAS,El Yunque,1950",1950,El Yunque,El Yunque Porto Rico,"""""G.S. Myers""""",Alexandria Digital Library Gazetteer,18.3125,-65.7917,NA,NA,NA,4
"CAS,San Juan,1950",1950,San Juan,San Juan Porto Rico,"""""G.S. Myers""""",Alexandria Digital Library Gazetteer,18.4683,-66.1061,NA,NA,NA,1
"CAS,El Yunque Mtns,1944",1944,El Yunque Mtns,El Yunque Mountains Porto Rico,"""""H.A. Beatty""""",Alexandria Digital Library Gazetteer,18.3125,-65.7917,NA,NA,NA,4
"CAS,El Yunque Mtns,1944",1944,El Yunque Mtns,"El Yunque Mts., Porto Rico","""""H.A. Beatty""""",Alexandria Digital Library Gazetteer,18.3125,-65.7917,NA,NA,NA,1
"CAS,13.3 km S of Palmer,1988",1988,13.3 km S of Palmer,"13.3 km S. of Palmer, Puerto Rico","""""J.B. Losos""""",Alexandria Digital Library Gazetteer,18.25204,-65.7706,18.25204,-65.7706,1000,2
