"","site","recordedBy","lat","long","uncertainty","species","Nindividuals","year","Elev","basisOfRecord","alt","pt.alt"
"1","PR 956 Guzman Abajo","Otero & Huey",18.3572,-66.8373,500,"cristatellus",1,2012,57,"sight",57,57
"2","across bridge, Las Banbuas Rio Grande Plantation Eco Resort","Otero & Huey",18.3453,-65.8362,500,"gundlachi",1,2012,59,"sight",59,59
"3","PR 186, Guzman Abajo","Otero & Huey",18.3538,-65.8255,500,"cristatellus",1,2012,32,"sight",32,32
"4","PR 976","Otero & Huey",18.2803,-65.7297,500,"gundlachi",1,2012,212,"sight",212,212
"5","Campamento Elisa Colberg, adjacent to Ranger House","Huey",18.3393,-65.8283046,250,"cristatellus",26,1978,NA,"sight",86.6980021706333,81.361647175389
"6","Campamento Elisa Colberg, adjacent to Ranger House","Huey & Otero",18.3393,-65.8283046,250,"cristatellus",26,1972,NA,"sight",86.6980021706333,81.361647175389
"7","Campamento Elisa Colberg, adjacent to Ranger House","Otero ",18.3393,-65.8283046,250,"cristatellus",901,2012,NA,"sight",86.6980021706333,81.361647175389
"8","Campamento Elisa Colberg, adjacent to Ranger House","Otero ",18.3393,-65.8283046,250,"gundlachi",759,2012,NA,"sight",86.6980021706333,81.361647175389
"9","Campamento Elisa Colberg, adjacent to Ranger House","Otero ",18.3393,-65.8283046,250,"cuvieri",1,2012,NA,"sight",86.6980021706333,81.361647175389
"10","Campamento Elisa Colberg, adjacent to Ranger House","Otero ",18.3393,-65.8283046,250,"evermanni",7,2012,NA,"sight",86.6980021706333,81.361647175389
"11","Campamento Elisa Colberg, adjacent to Ranger House","Otero ",18.3393,-65.8283046,250,"krugi",10,2012,NA,"sight",86.6980021706333,81.361647175389
"12","Campamento Elisa Colberg, adjacent to Ranger House","Otero ",18.3393,-65.8283046,250,"pulchellus",2,2012,NA,"sight",86.6980021706333,81.361647175389
"13","Campamento Elisa Colberg, adjacent to Ranger House","Otero ",18.3393,-65.8283046,250,"stratulus",18,2012,NA,"sight",86.6980021706333,81.361647175389
"14","Monagas, Puerto Rico","Huey & Otero",18.4077,-66.1387,1000,"cristatellus",1,2012,NA,"sight",24.1092718611014,17.0472729790179
"15","Monte Guillarte ","Huey & Webster 1972",18.1466,-66.768722,1000,"gundlachi",1,1972,968,"sight",968,968
"16","Monte Guillarte ","Huey & Webster 1972",18.1466,-66.768722,1000,"evermanni",1,1972,968,"sight",968,968
"17","Monte Guillarte ","Huey & Webster 1972",18.1466,-66.768722,1000,"krugi",1,1972,968,"sight",968,968
"18","Toro Negro","Huey & Webster 1972",18.158,-66.5662513,1000,"gundlachi",1,1972,1150,"sight",1150,1150
"19","Toro Negro","Huey & Webster 1972",18.158,-66.5662513,1000,"krugi",1,1972,1150,"sight",1150,1150
"20","Toro Negro","Huey & Webster 1972",18.158,-66.5662513,1000,"evermanni",1,1972,1150,"sight",1150,1150
"21","KM-37-7 0.6 S hwy 157 on hwy 149. BW 144 and 157 on 149.","Huey & Webster 1972",18.2189,-66.5170167,100,"gundlachi",1,1972,350,"sight",350,350
"22","KM-37-7 0.6 S hwy 157 on hwy 149. BW 144 and 157 on 149.","Huey & Webster 1972",18.2189,-66.5170167,100,"cristatellus",1,1972,350,"sight",350,350
"23","KM-37-7 0.6 S hwy 157 on hwy 149. BW 144 and 157 on 149.","Huey & Webster 1972",18.2189,-66.5170167,100,"stratulus",1,1972,350,"sight",350,350
"24","KM-37-7 0.6 S hwy 157 on hwy 149. BW 144 and 157 on 149.","Huey & Webster 1972",18.2189,-66.5170167,100,"evermanni",1,1972,350,"sight",350,350
"25","KM-37-7 0.6 S hwy 157 on hwy 149. BW 144 and 157 on 149.","Huey & Webster 1972",18.2189,-66.5170167,100,"krugi",1,1972,350,"sight",350,350
"26","El Verde","Huey & Webster 1972",18.3211,-65.8221388,500,"gundlachi",1,1972,NA,"sight",368.479031134589,357.067784684733
"27","El Verde","Huey & Webster 1972",18.3211,-65.8221388,500,"cristatellus",1,1972,NA,"sight",368.479031134589,357.067784684733
"28","El Verde","Schoener and Schoener 1971",18.3211,-65.8221388,500,"gundlachi",1,1971,NA,"sight",368.479031134589,357.067784684733
"29","El Verde","Schoener and Schoener 1971",18.3211,-65.8221388,500,"evermanni",1,1971,NA,"sight",368.479031134589,357.067784684733
