FMNH #,Coll. #,Taxon,Site/Location,Date coll (text): (Collection Details)/Date Coll (verb): (Collection Details),Date coll (min): (Collection Details)/Date Coll: (Collection Details),Date coll (max): (Collection Details),Collector: (Collection Details)/Collector: (Specimen Details),Type Status: (Reference #'s)/Type Status: (Identification),Status: (Reference #'s)/Fate: (Collection Details)/Status: (Specimen Custody),Collection Notes/Collection Notes: (Notes)/Collection Notes: (Collection Details),Notes: (Note Details),Sex: (Reference #'s)/Sex: (Identification)
57589,6921,Anolis cristatellus cristatellus,"North America, Puerto Rico: 2 mi W Juana Diaz, 100'",,22 Sep 1948,,H. Trapido,,,,On tree trunks.,
57590,6915,Anolis cristatellus cristatellus,"North America, Puerto Rico: 2 mi W Juana Diaz, 100'",,22 Sep 1948,,H. Trapido,,,,On tree trunks.,
57591,6916,Anolis cristatellus cristatellus,"North America, Puerto Rico: 2 mi W Juana Diaz, 100'",,22 Sep 1948,,H. Trapido,,,,On tree trunks.,
57592,6920,Anolis cristatellus cristatellus,"North America, Puerto Rico: 2 mi W Juana Diaz, 100'",,22 Sep 1948,,H. Trapido,,,,On tree trunks.,
57593,6917,Anolis cristatellus cristatellus,"North America, Puerto Rico: 2 mi W Juana Diaz, 100'",,22 Sep 1948,,H. Trapido,,,,On tree trunks.,
57594,6918,Anolis cristatellus cristatellus,"North America, Puerto Rico: 2 mi W Juana Diaz, 100'",,22 Sep 1948,,H. Trapido,,,,On tree trunks.,
57595,6919,Anolis cristatellus cristatellus,"North America, Puerto Rico: 2 mi W Juana Diaz, 100'",,22 Sep 1948,,H. Trapido,,,,On tree trunks.,
133305,H62-12,Anolis cristatellus cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante",,06 Jun 1962,,Juanita,,,,,
133309,H62-30,Anolis cristatellus cristatellus,"North America, Puerto Rico: San Juan",,08 Jun 1962,,Juanita,,,,,
133313,H62-64,Anolis cristatellus cristatellus,"North America, Puerto Rico: San German, Interamerican Univ campus",,13 Jun 1962,,F. S. Velez,,,,,
133316,H62-115,Anolis cristatellus cristatellus,"North America, Puerto Rico: San German, Interamerican Univ greenhouse",,19 Jun 1962,,Fred,,,,,
133317,H62-114,Anolis cristatellus cristatellus,"North America, Puerto Rico: San German, Interamerican Univ greenhouse",,19 Jun 1962,,Fred,,,,,
133319,H62-62,Anolis cristatellus cristatellus,"North America, Puerto Rico: San German, Interamerican Univ campus",,13 Jun 1962,,F. S. Velez,,,,,
133320,H62-70,Anolis cristatellus cristatellus,"North America, Puerto Rico: San German, Interamerican Univ campus",,13 Jun 1962,,F. S. Velez,,,,,
133322,H62-50,Anolis cristatellus cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante",,13 Jun 1962,,H. Trapido,,,,,
133323,H62-83,Anolis cristatellus cristatellus,"North America, Puerto Rico: Maricao Forest, Rt 120, Km 14",,14 Jun 1962,,E. M. Nelson,,,,,
207313,AR 3,Anolis cristatellus cristatellus,"North America, Puerto Rico: Sabana Seca, Caribbean Primate Research Center",,22 Dec 1977,,"Alan Robert Resetar, Richard Evers",,,,"10:30 AM, cloudy, high 70's. Second growth forest on hillside. Found on ground.",
207314,AR 4,Anolis cristatellus cristatellus,"North America, Puerto Rico: Sabana Seca, Caribbean Primate Research Center",,22 Dec 1977,,"Alan Robert Resetar, Richard Evers",,,,"10:30 AM, cloudy, high 70's. Second growth forest on hillside. Found on ground.",
207315,AR 5,Anolis cristatellus cristatellus,"North America, Puerto Rico: Sabana Seca, Caribbean Primate Research Center, trail near Center",,22 Dec 1977,,"Alan Robert Resetar, Richard Evers",,,,"11 AM, cloudy, high 70's. Found on ground.",
207316,AR 12,Anolis cristatellus cristatellus,"North America, Puerto Rico: Cayo Santiago, large cay",,23 Dec 1977,,"Alan Robert Resetar, Michael Evans, Richard Evers",,,,"Sunny, mid 80's, early afternoon. Foraging when found.",
207317,AR 13,Anolis cristatellus cristatellus,"North America, Puerto Rico: Cayo Santiago, large cay",,23 Dec 1977,,"Alan Robert Resetar, Michael Evans, Richard Evers",,,,"Sunny, mid 80's, early afternoon. Foraging when found.",
207318,AR 14,Anolis cristatellus cristatellus,"North America, Puerto Rico: Cayo Santiago, large cay",,23 Dec 1977,,"Alan Robert Resetar, Michael Evans, Richard Evers",,,,"4:30 PM, partly cloudy, mid 80's. Found on ground.",
207319,AR 20,Anolis cristatellus cristatellus,"North America, Puerto Rico: Sabana Seca, Caribbean Primate Research Center",,23 Dec 1977,,A. R. Resetar,,,,"8:30 PM, low 80's. Found sleeping in building.",
207320,AR 21,Anolis cristatellus cristatellus,"North America, Puerto Rico, Toa Baja Municipality: Dorado",,24 Dec 1977,,A. R. Resetar,,,,10 AM. Crawling in house.,
207321,AR 33,Anolis cristatellus cristatellus,"North America, Puerto Rico: Sabana Seca, Caribbean Primate Research Center",,28 Dec 1977,,"Alan Robert Resetar, Michael Evans, Richard Evers",,,,Inside parked car.,
207322,AR 34,Anolis cristatellus cristatellus,"North America, Puerto Rico: Sabana Seca, Caribbean Primate Research Center",,28 Dec 1977,,"Alan Robert Resetar, Michael Evans, Richard Evers",,,,Inside parked car.,
207323,AR 48,Anolis cristatellus cristatellus,"North America, Puerto Rico, Toa Baja Municipality: 1 mi N Dorado, Costa del Oro Urbanization",,28 Dec 1977,,"Alan Resetar, Michael Evans",,,,"12 AM, 75_. Disturbed lowlands. Found on small banana plants, etc.",
207324,AR 49,Anolis cristatellus cristatellus,"North America, Puerto Rico, Toa Baja Municipality: 1 mi N Dorado, Costa del Oro Urbanization",,28 Dec 1977,,"Alan Resetar, Michael Evans",,,,"12 AM, 75_. Disturbed lowlands. Found on small banana plants, etc. Outer edge of dewlap orange, center green.",
207325,AR 50,Anolis cristatellus cristatellus,"North America, Puerto Rico, Toa Baja Municipality: 1 mi N Dorado, Costa del Oro Urbanization",,28 Dec 1977,,"Alan Resetar, Michael Evans",,,,"12 AM, 75_. Disturbed lowlands. Found on small banana plants, etc. Outer edge of dewlap orange, center green.",
207326,AR 51,Anolis cristatellus cristatellus,"North America, Puerto Rico, Toa Baja Municipality: 1 mi N Dorado, Costa del Oro Urbanization",,28 Dec 1977,,"Alan Resetar, Michael Evans",,,,"12 AM, 75_. Disturbed lowlands. Found on small banana plants, etc.",
207327,AR 55,Anolis cristatellus cristatellus,"North America, Puerto Rico, Toa Baja Municipality: 1 mi N Dorado, Costa del Oro Urbanization",,28 Dec 1977,,"Alan Resetar, Michael Evans",,,,"12 AM, 75_. Disturbed lowlands. Found on small banana plants, etc. Outer edge of dewlap orange, center green.",
211445,2301,Anolis cristatellus cristatellus,"North America, Puerto Rico: Jardin Zoologico de Puerto Rico in Mayaguez",,07 Feb 1979,,A. R. Resetar,,,,,
211446,2303,Anolis cristatellus cristatellus,"North America, Puerto Rico: Jardin Zoologico de Puerto Rico in Mayaguez",,07 Feb 1979,,A. R. Resetar,,,,,
211448,2305,Anolis cristatellus cristatellus,"North America, Puerto Rico: Jardin Zoologico de Puerto Rico in Mayaguez",,07 Feb 1979,,A. R. Resetar,,,,,
211449,2306,Anolis cristatellus cristatellus,"North America, Puerto Rico: Jardin Zoologico de Puerto Rico in Mayaguez",,07 Feb 1979,,A. R. Resetar,,,,,
211450,2307,Anolis cristatellus cristatellus,"North America, Puerto Rico: Jardin Zoologico de Puerto Rico in Mayaguez",,07 Feb 1979,,A. R. Resetar,,,,,
211451,2308,Anolis cristatellus cristatellus,"North America, Puerto Rico: Jardin Zoologico de Puerto Rico in Mayaguez",,07 Feb 1979,,A. R. Resetar,,,cleared & stained,,
211452,2310,Anolis cristatellus cristatellus,"North America, Puerto Rico: Jardin Zoologico de Puerto Rico in Mayaguez",,07 Feb 1979,,A. R. Resetar,,,,,
211453,2311,Anolis cristatellus cristatellus,"North America, Puerto Rico: Jardin Zoologico de Puerto Rico in Mayaguez",,07 Feb 1979,,A. R. Resetar,,,,,
211454,2312,Anolis cristatellus cristatellus,"North America, Puerto Rico: Jardin Zoologico de Puerto Rico in Mayaguez",,07 Feb 1979,,A. R. Resetar,,,,,
